qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.003183126449584961,0.004250288009643555,0.003937721252441406,0.00357818603515625,0.003747224807739258,0.0034723281860351562,0.002176046371459961
0.002615690231323242,0.003503084182739258,0.0038077831268310547,0.0032389163970947266,0.0032529830932617188,0.003275632858276367,0.0016934871673583984
0.0026426315307617188,0.0034737586975097656,0.003395557403564453,0.0031321048736572266,0.003319978713989258,0.0033113956451416016,0.001692056655883789
0.0026769638061523438,0.0038056373596191406,0.0034911632537841797,0.003133535385131836,0.0032656192779541016,0.003392934799194336,0.0016970634460449219
0.0027036666870117188,0.003787994384765625,0.00357818603515625,0.0032241344451904297,0.003299713134765625,0.003403902053833008,0.0017070770263671875
0.002947092056274414,0.0033638477325439453,0.0037355422973632812,0.0032372474670410156,0.0035469532012939453,0.0033576488494873047,0.0016667842864990234
0.00270843505859375,0.003778696060180664,0.003499746322631836,0.0035583972930908203,0.003175020217895508,0.0033931732177734375,0.0016703605651855469
0.0027723312377929688,0.003618478775024414,0.0032613277435302734,0.0030891895294189453,0.003272533416748047,0.0033457279205322266,0.001857757568359375
0.002711772918701172,0.003607034683227539,0.0036644935607910156,0.0032186508178710938,0.0035653114318847656,0.003290414810180664,0.0016851425170898438
0.0026776790618896484,0.003472566604614258,0.0036020278930664062,0.003241300582885742,0.0032699108123779297,0.0033621788024902344,0.001676797866821289
0.0028874874114990234,0.004079580307006836,0.0035924911499023438,0.003407001495361328,0.0032112598419189453,0.0035300254821777344,0.0016710758209228516
0.0026302337646484375,0.0038759708404541016,0.0035867691040039062,0.0035626888275146484,0.0035305023193359375,0.003343820571899414,0.0016901493072509766
0.002612590789794922,0.0035283565521240234,0.0040590763092041016,0.0034224987030029297,0.003397703170776367,0.0034422874450683594,0.0018188953399658203
0.002756834030151367,0.00417327880859375,0.003574371337890625,0.0032579898834228516,0.0035355091094970703,0.003797292709350586,0.0017464160919189453
0.0026023387908935547,0.0033028125762939453,0.0038442611694335938,0.0038385391235351562,0.0033266544342041016,0.0033485889434814453,0.0017025470733642578
0.0031578540802001953,0.004498004913330078,0.0037071704864501953,0.003176450729370117,0.0037860870361328125,0.0034351348876953125,0.0021827220916748047
